"港口航运	https://finance.eastmoney.com/a/202412313283776042.html	港口航运板块异动 厦门港务拉升涨停	南方财经12月31日电，港口航运板块异动，厦门港务拉升涨停，盛航股份涨超7%，青岛港、凤凰航运、中远海特上涨。",,,
"港口航运	https://finance.eastmoney.com/a/202412313283764625.html	港口航运板块异动 厦门港务拉升涨停	港口航运板块异动，厦门港务拉升涨停，盛航股份涨超7%，青岛港、凤凰航运、中远海特上涨。",,,
"港口航运	https://finance.eastmoney.com/a/202411253249377780.html	港口航运板块冲高，南京港涨停	每经AI快讯， 港口航运板块冲高，南京港涨停，中远海特涨超5%，重庆港、连云港、宁波港等上涨。",,,
"港口航运	https://finance.eastmoney.com/a/202412283281731728.html	象屿集团党委副书记、总裁邓启东一行拜访招商局集团	12月26日，象屿集团党委副书记、总裁邓启东率队赴深圳拜访招商局集团有限公司，与招商局集团党委委员、副总经理邓仁杰深入交流。邓仁杰表示，希望双方在已有业务的基础上，围绕各板块产业所需共同发力，深化全方位交流合作。邓启东表示，当前正值招商局全面推进“第三次创业”之际，象屿期待以此为新起点，充分发挥象屿在大宗商品供应链、城市开发运营、综合金融服务、港口航运等领域的核心优势，进一步加强战略协同，拓展合作领域，深化特色创新业务合作，携手开创互利共赢的新局面。  ",,,
"港口航运	https://finance.eastmoney.com/a/202412193273338217.html	中远海运旗下海南投资公司增资至35.6亿元	""天眼查App显示，12月18日，海南中远海运投资有限公司发生工商变更，注册资本由约23亿人民币增至约35.6亿人民币，增幅约55%。",,,
,,,
"　　该公司成立于2019年5月，法定代表人为高勇军，经营范围为港口航运投资、商务咨询、企业管理及咨询、人力资源管理及咨询、财税顾问、经济信息咨询、信息技术咨询、投资咨询服务、信息服务。股东信息显示，该公司由中远海运（香港）有限公司全资持股。""",,,
"港口航运	https://finance.eastmoney.com/a/202412313284015377.html	“推进区域海洋经济互联互通——RCEP区域海洋经济青年对话”在海口召开	""为落实中央经济工作会议关于“大力发展海洋经济”的精神，深入研究讨论和推动区域海洋经济合作，日前，以“推进区域海洋经济互联互通”为主题的RCEP区域海洋经济青年对话在海口召开。",,,
,,,
　　21世纪是海洋的世纪。当前，蓝色经济正呈现快速发展的态势，成为各涉海经济体的“蓝色引擎”。《区域全面经济伙伴关系协定》（RCEP）正式实施后，蓝色经济发展成为推动RCEP区域乃至全球经济增长的重要动力。,,,
,,,
　　在开幕式上，海南省委常委，省政府党组副书记、常务副省长巴特尔，中国海洋发展基金会理事长吕滨，中国（海南）改革发展研究院院长迟福林发表致辞。,,,
,,,
　　“海洋经济互联互通不仅能够促进区域内各国的经济合作与发展，还有助于增强区域内国家的整体应对能力，是实现海洋和人类可持续发展的必然选择。”中国海洋发展基金会理事长吕滨指出，一是要建立长效的区域协作机制，为推动区域经济互联互通提供制度保障。二是要构建蓝色经济伙伴关系，不断增进经济合作平等互信。三是要充分激发青年的创新活力与创业热情，为区域经济发展输入不竭动力。,,,
,,,
　　中国（海南）改革发展研究院院长迟福林建议，要以港口为重点推进中国-东盟海洋基础设施互联互通，实现“硬联通”；以邮轮旅游为重点推进中国-东盟海洋产业互联互通进程，实现“产联通”；以可再生能源为重点实现中国-东盟能源开发互联互通，实现“能源联通”；以规则、标准对接为重点推进中国-东盟蓝色经济一体化进程，实现“软联通”。,,,
,,,
　　“要以海洋经济互联互通走出一条‘以合作引领治理’的新路子,促进形成‘以合作引领治理’的新格局。充分发挥以东盟为主体的RCEP的作用，形成以合作为基础的区域海洋治理新局面；中国自主推进海洋经济领域向东盟的单边开放，助力形成区域海洋经济合作新格局。把海南自由贸易港打造成中国-东盟海洋经济互联互通的重要枢纽。”迟福林表示。,,
,,,
　　记者了解到，当天下午，“RCEP区域海洋经济青年对话”分别围绕“区域港口合作与海洋基础设施互联互通”“区域邮轮旅游合作与海洋旅游大市场建设”议题举行两场专题对话。,,,
,,,
　　“专题对话1：区域港口合作与海洋基础设施互联互通”由中改国浩自贸港法律研究中心主任李淳主持。与会嘉宾围绕如何进一步推进区域港口合作进行讨论。,,,
,,,
　　北京大学海洋战略研究中心主任胡波认为，在区域经济一体化加速的背景下，港口发展相对滞后已成为影响中国-东盟蓝色经济互联互通的突出掣肘。特别是港口合作已成为海上丝绸之路建设的重要内容，推动中国企业参与港口互联互通项目建设，需要详细了解东盟当地国情、社情，讲好中国故事，并进一步关注数字港口、智能港口等新兴领域。,,,
,,,
　　印尼国家海洋研究所所长西斯万托·鲁斯迪提出，加快建设中国-印尼海上走廊。印尼的纳土纳群岛离海南很近，但尚未建立经贸联系。建议加快推进纳土纳群岛和海南岛间的港口合作，建立紧密城市关系或姊妹港；合作开展船舶联合检修，并促进两地间高校、智库的交流。,,,
,,,
　　外交学院亚洲研究所所长郭延军认为，推进中国-东盟港口互联互通，需要提升双边互信，并最大限度排除非经济因素的干扰。同时，抓住RCEP的重大机遇，适应港口数字化转型趋势，减少数字鸿沟。更加重视“软联通”，提高通关便利化和港口运行效率。,,,
,,,
　　柬埔寨西哈努克自治港董事长兼首席执行官助理苏克·科尔·陈达表示，西哈努克港是柬埔寨中国和国际商业的重要门户，柬埔寨从中国进口的67%的货物经过西哈努克自治港。未来，也将进一步吸引印度洋、太平洋集装箱船停靠，开通面向欧洲和北美的直航航线。,,,
,,,
　　天津社会科学院海洋经济与港口经济研究所所长石森昌建议，一是推动区域内港口的“软联通”，共同打造国际化高端化的港口航运对话平台和研究平台，共同提升RCEP区域港口的航运能力及其在全球港口领域的话语权；二是联合推进港口智能化、绿色化改造，并设立共同标准；三是加强区域港口物流与产业链合作，中国在这方面有值得借鉴的经验；四是开展港口物流的碳核算，共同探索构建区域内船舶航运碳排放的标准和流程。,,,
,,,
　　新加坡国立大学东亚研究所高级研究员余虹建议，一是加强区域内港口硬联通，加强港口设施升级的合作。二是加强港口“硬联通”，合力推动无纸化通关和“单一窗口”安排，利用RCEP规则促进双边多边自由贸易进程。,,,
,,,
　　上海海事大学中国（上海）自贸区供应链研究院教授孟令鹏认为，港口是一个国家高水平对外开放的最前沿，也是国际产业链和供应链网络的重要节点。建议在RCEP框架下推进自贸协定规则全面落地；推动构建港口联盟，推动基础设施设备和人力资源的共享；加强涉海人才的合作培养和国际交流。,,,
,,,
　　中国（海南）改革发展研究院、RCEP研究院助理研究员王越弘认为，要发挥政府作用推动中国与东盟港口建设，释放中国与东盟经济互补性；充分利用RCEP、中国-东盟自贸区3.0等现有合作机制，尽快就互联互通开展对话，推动区域内港口“硬联通”和“软联通”。,,,
,,,
　　“专题对话2：区域邮轮旅游合作与海洋旅游大市场建设”由同济大学特聘教授刘兴华主持。与会嘉宾共同探讨了邮轮旅游发展的未来空间。,,,
,,,
　　上海社会科学院应用经济研究所海上丝绸之路研究中心主任李小年认为，邮轮旅游发展需要几个关键因素：一是产业开放，二是体制创新，三是邮轮旅游服务便利化。特别是邮轮签证政策开放十分重要。例如，日本对邮轮的整船游客采取全年免签，这值得中国和东盟国家借鉴。,,,
,,,
　　中国南海研究院原院长王胜建议，一是坚持先易后难，对周边国家及基础设施配套完善的地区率先实施单边免签政策；二是加快构建邮轮旅游合作机制，特别是实现邮轮航线审批、安全监管、旅游市场联合推广等方面的对接协调；三是加强与南海当事方友好的对话协商，深化包括邮轮旅游在内的各领域的深层次的交流。,,,
,,,
